n_obs,sigma_true,replications,scenario_id,maturity_days,fraction_fixed,moneyness,mean_posterior_sigma,mean_posterior_sigma_sd,mean_pi_minus_pm,mean_abs_pi_minus_pm,median_abs_pi_minus_pm,p95_abs_pi_minus_pm,p99_abs_pi_minus_pm,max_abs_pi_minus_pm,mean_taylor_gap,taylor_mae,taylor_rmse,taylor_corr,taylor_slope_through_origin
21,0.1,5000,52,63,0.2727272727272727,1.0,0.09959801908901932,0.01594906190426896,-4.896366341523839e-06,4.896366341523839e-06,4.498846128297984e-06,9.116860452595966e-06,1.1505400493294638e-05,1.985700437900917e-05,-4.69007476344469e-06,2.0629157807914942e-07,2.262117479577472e-07,0.9999999248844126,1.04389305080021
21,0.1,5000,53,63,0.2727272727272727,1.1,0.09959801908901932,0.01594906190426896,0.00023932987953218445,0.00023932987953218445,9.86127749413032e-05,0.0009581333440254727,0.0017283594337051797,0.005098461393420435,0.00012555597028302522,0.00011377390924915925,0.00016014426141172232,0.9854343310552602,1.4453103587857927
21,0.1,5000,54,63,0.2727272727272727,1.25,0.09959801908901932,0.01594906190426896,1.4366577504963548e-08,1.4366577504963548e-08,8.683191460287578e-10,5.7622406073710615e-08,2.118879683897886e-07,3.7144384983475466e-06,1.2835956520659687e-11,1.4353741548442887e-08,9.020593505688081e-08,0.8160684216016341,158.21009679587786
21,0.1,5000,55,63,0.2727272727272727,1.5,0.09959801908901932,0.01594906190426896,1.0230744551878403e-12,1.0230744551878403e-12,2.5404924971457685e-14,3.0891633015174548e-12,1.464095417705741e-11,5.115875939651634e-10,1.9520563239338572e-26,1.0230744551878207e-12,1.0540196586096842e-11,0.7171379315815805,5875139015516.591
21,0.1,5000,56,63,0.5,0.6,0.09959801908901932,0.01594906190426896,-1.1751666306736298e-13,1.183209974442434e-13,1.2079226507921703e-13,2.1316282072803006e-13,2.5579538487363607e-13,3.694822225952521e-13,1.55191823890175e-16,1.1853785211390998e-13,1.3158623155232709e-13,0.028593891260496298,-0.1235050101145824
21,0.1,5000,57,63,0.5,0.75,0.09959801908901932,0.01594906190426896,-5.805631531075051e-14,5.849543072145025e-14,5.684341886080802e-14,1.0302869668521453e-13,1.2789769243681803e-13,1.8474111129762605e-13,6.308215825407061e-16,6.085046281258566e-14,7.485686343053058e-14,-0.011156057481336827,-0.03677512713465183
21,0.1,5000,58,63,0.5,0.9,0.09959801908901932,0.01594906190426896,3.3150454206349876e-07,3.3150454206349876e-07,3.5212753601854274e-08,1.471317818957375e-06,4.549918136831385e-06,4.982299389055811e-05,9.705644372592537e-09,3.217988976941247e-07,1.3168697642049683e-06,0.8704355518868522,7.270300356106879
21,0.1,5000,59,63,0.5,1.0,0.09959801908901932,0.01594906190426896,-3.4806126588363795e-06,3.4806126588363795e-06,3.198034914331238e-06,6.480767703209711e-06,8.178666051176239e-06,1.4115400640668518e-05,-3.3339709241902006e-06,1.4664173464617802e-07,1.6080168291013555e-07,0.9999999249134228,1.043892402115151
21,0.1,5000,60,63,0.5,1.1,0.09959801908901932,0.01594906190426896,7.648054811450599e-06,7.648054811450599e-06,1.4107353577568448e-06,3.5150879893629e-05,8.923763454222726e-05,0.0005681433327997404,1.2162942032877224e-06,6.431760608162876e-06,1.5792833159918065e-05,0.9274754831021176,2.531995872759054
21,0.1,5000,61,63,0.5,1.25,0.09959801908901932,0.01594906190426896,8.49366032524279e-11,8.49366032524279e-11,3.0234047543286658e-12,2.9253739603111944e-10,1.2550252938574144e-09,3.323369521611248e-08,1.5277600846928096e-17,8.493658797482705e-11,7.249834669011835e-10,0.7554515868858003,660411.4499145477
