contract_id,sigma,model_price,pricing_se,n_paths
jaoh7_8342c,0.3615748994298468,6.306394755442941,0.03855571942746828,100000
jaoh7_8430c,0.3615748994298468,5.987313676522267,0.037683474548248275,100000
jaoh7_8455c,0.3615748994298468,5.899243952055051,0.037436165007489135,100000
jaoh7_8500c,0.3615748994298468,5.743348624835934,0.03699200187184349,100000
jaoh7_8525c,0.3615748994298468,5.658153139963462,0.036745894610169805,100000
jaoh7_8575c,0.3615748994298468,5.490731266809708,0.03625522548054882,100000
jaoh7_8635c,0.3615748994298468,5.295312654559872,0.03566885597592443,100000
jaoh7_8675c,0.3615748994298468,5.168230157112771,0.03527967403558439,100000
jaoh7_8700c,0.3615748994298468,5.090186969367967,0.03503703418908352,100000
jaoh7_8705c,0.3615748994298468,5.074711159854551,0.034988554620188836,100000
jaoh7_6800p,0.3615748994298468,2.976440328375647,0.018636456250929346,100000
jaoh7_6900p,0.3615748994298468,3.292610782641354,0.019716501936475905,100000
jaoh7_7000p,0.3615748994298468,3.6291379534894728,0.020810383297065745,100000
jaoh7_7100p,0.3615748994298468,3.986023887054828,0.021915638021345617,100000
jaoh7_7150p,0.3615748994298468,4.172396488944769,0.02247129074928473,100000
jaoh7_7250p,0.3615748994298468,4.560274709761706,0.02358839700918863,100000
jaoh7_7300p,0.3615748994298468,4.761857938909728,0.02414905865921232,100000
jaoh7_7400p,0.3615748994298468,5.179661011802599,0.025274145745337706,100000
jaoh7_7450p,0.3615748994298468,5.396111536744961,0.02583745469364321,100000
jaoh7_7500p,0.3615748994298468,5.617607238705964,0.02640080571581981,100000
jaoh7_7690p,0.3615748994298468,6.505179866383097,0.028536395780196365,100000
jaoh7_7900c,0.3653698730840321,8.199350353869367,0.04347890457384332,100000
jaoh7_8000c,0.3653698730840321,7.758963885234835,0.04248219885298042,100000
jaoh7_8025c,0.3653698730840321,7.651745188692687,0.042232716103151255,100000
jaoh7_8045c,0.3653698730840321,7.5667758636459705,0.04203311217637699,100000
jaoh7_8075c,0.3653698730840321,7.440687323377356,0.04173365912330334,100000
jaoh7_8100c,0.3653698730840321,7.336911780575604,0.04148400804370605,100000
jaoh7_8102c,0.3653698730840321,7.328664326801332,0.041464025938568086,100000
jaoh7_8125c,0.3653698730840321,7.234282001545525,0.0412343386751754,100000
jaoh7_8150c,0.3653698730840321,7.132654784012369,0.04098492295720054,100000
jaoh7_8185c,0.3653698730840321,6.99218437575045,0.04063598857609407,100000
