n_obs,sigma_true,replications,scenario_id,maturity_days,fraction_fixed,moneyness,mean_posterior_sigma,mean_posterior_sigma_sd,mean_pi_minus_pm,mean_abs_pi_minus_pm,median_abs_pi_minus_pm,p95_abs_pi_minus_pm,p99_abs_pi_minus_pm,max_abs_pi_minus_pm,mean_taylor_gap,taylor_mae,taylor_rmse,taylor_corr,taylor_slope_through_origin
126,0.1,5000,45,63,0.0,1.0,0.10004541064070593,0.00634530328978281,-9.545218000263978e-07,9.545218000263978e-07,9.451118895276167e-07,1.2697089405877548e-06,1.410386425393373e-06,1.8445769107700016e-06,-9.495519922515223e-07,4.969807774875355e-09,5.129518698817281e-09,0.9999933151966102,1.00526558682169
126,0.1,5000,46,63,0.0,1.1,0.10004541064070593,0.00634530328978281,0.00019551851405884396,0.00019551851405884396,0.00017977643623895006,0.0003881004520272351,0.0004919957436684034,0.0008305172876130968,0.00018452869464177834,1.0989819417065596e-05,1.1245093425919651e-05,0.9999521724583375,1.051211947839373
126,0.1,5000,47,63,0.0,1.25,0.10004541064070593,0.00634530328978281,5.6532540169136654e-11,5.6532540169136654e-11,5.893762586391997e-12,2.3269906683178878e-10,7.698011073372326e-10,1.1944063355127256e-08,1.0210491492615911e-11,4.632204867652075e-11,2.2123108987529145e-10,0.9843122438131854,3.375231330163998
126,0.1,5000,48,63,0.0,1.5,0.10004541064070593,0.00634530328978281,1.0307765189718531e-22,1.0307765189718531e-22,4.426416703982634e-26,5.151524338574565e-23,5.62345675787981e-22,1.6618213808639364e-19,1.573353928615949e-28,1.0307749456179247e-22,2.9287554951901252e-21,0.9655094574864905,381520.7106907556
126,0.1,5000,49,63,0.2727272727272727,0.6,0.10004541064070593,0.00634530328978281,-8.341771717823576e-15,1.993498699448537e-14,1.4210854715202004e-14,4.973799150320701e-14,6.394884621840902e-14,9.237055564881302e-14,0.0,1.993498699448537e-14,2.5199335764589096e-14,,
126,0.1,5000,50,63,0.2727272727272727,0.75,0.10004541064070593,0.00634530328978281,-4.0941472434496976e-15,1.036397634379682e-14,7.105427357601002e-15,2.4868995751603507e-14,3.197442310920451e-14,5.3290705182007514e-14,0.0,1.036397634379682e-14,1.3096171974744495e-14,,
126,0.1,5000,51,63,0.2727272727272727,0.9,0.10004541064070593,0.00634530328978281,5.882654870180915e-07,5.882654870180915e-07,3.1297225877580104e-07,2.1144767771374978e-06,3.862940703349694e-06,1.4900320008948142e-05,3.9527219974770473e-07,1.9299328727038673e-07,2.8554925646893053e-07,0.9982384101122697,1.3633092363043313
126,0.1,5000,52,63,0.2727272727272727,1.0,0.10004541064070593,0.00634530328978281,-7.085020846106848e-07,7.085020846106848e-07,7.01517488599368e-07,9.424520541478909e-07,1.0468711068656322e-06,1.3691517715130885e-06,-7.048132016226248e-07,3.6888829880601226e-09,3.807439195195665e-09,0.9999933149000241,1.0052655968779298
126,0.1,5000,53,63,0.2727272727272727,1.1,0.10004541064070593,0.00634530328978281,8.339827030181866e-06,8.339827030181866e-06,5.986982217980505e-06,2.4234795095457706e-05,3.753303983900853e-05,9.948015501066272e-05,6.767699109441628e-06,1.5721279207402344e-06,1.8933150627619296e-06,0.9995026601410693,1.1866908592283198
126,0.1,5000,54,63,0.2727272727272727,1.25,0.10004541064070593,0.00634530328978281,1.5931992790197984e-15,1.5931992790197984e-15,2.1956960103449955e-17,3.729095921371675e-15,2.051791231575784e-14,1.1059570822558236e-12,2.1771362158824698e-17,1.5714279168609737e-15,2.161716978846706e-14,0.9783754819629686,36.1330480518128
126,0.1,5000,55,63,0.2727272727272727,1.5,0.10004541064070593,0.00634530328978281,7.551004323022069e-30,7.551004323022069e-30,1.885531305592177e-34,8.542310210224279e-31,1.5396549210807982e-29,1.646453636209591e-26,6.1506892664750465e-43,7.551004323021455e-30,2.749766799324339e-28,0.9481284372198133,7562476329470.359
126,0.1,5000,56,63,0.5,0.6,0.10004541064070593,0.00634530328978281,-8.341771717823576e-15,1.993498699448537e-14,1.4210854715202004e-14,4.973799150320701e-14,6.394884621840902e-14,9.237055564881302e-14,0.0,1.993498699448537e-14,2.5199335764589096e-14,,
126,0.1,5000,57,63,0.5,0.75,0.10004541064070593,0.00634530328978281,-4.084199645149056e-15,1.0298606412106892e-14,7.105427357601002e-15,2.4868995751603507e-14,3.197442310920451e-14,5.684341886080802e-14,0.0,1.0298606412106892e-14,1.2989529679550055e-14,,
126,0.1,5000,58,63,0.5,0.9,0.10004541064070593,0.00634530328978281,1.9723294997220363e-11,1.972335894606658e-11,1.999289622744982e-12,8.08835665111474e-11,2.6952386988909906e-10,4.256399677160516e-09,3.474006361228316e-12,1.6260106746627206e-11,7.895835369809306e-11,0.9841678352271,3.440079218549487
126,0.1,5000,59,63,0.5,1.0,0.10004541064070593,0.00634530328978281,-5.036435603317791e-07,5.036435603317791e-07,4.986785276384076e-07,6.69948164788714e-07,7.441747831660184e-07,9.732692775044072e-07,-5.010213294005433e-07,2.6222309312357704e-09,2.706502656681094e-09,0.9999933152353377,1.0052655177795682
126,0.1,5000,60,63,0.5,1.1,0.10004541064070593,0.00634530328978281,1.74517979367994e-08,1.74517979367994e-08,5.647260969731049e-09,7.330252524895314e-08,1.6597207732223567e-07,1.04885324367834e-06,8.320655936414037e-09,9.13114200038536e-09,1.9187911324561265e-08,0.9942899908904338,1.718178227189907
126,0.1,5000,61,63,0.5,1.25,0.10004541064070593,0.00634530328978281,2.982640050859103e-22,2.982640050859103e-22,1.797106568109577e-25,1.7626051532668838e-22,1.8083044911327087e-21,4.569222898481642e-19,1.6490148144294432e-27,2.9826235607109586e-22,8.11944909709351e-21,0.9671859438958335,103869.75099159055
126,0.1,5000,62,63,0.5,1.5,0.10004541064070593,0.00634530328978281,4.640240811962674e-39,4.640240811962674e-39,7.174622078546843e-45,1.1230859168947652e-40,3.2421291685401685e-39,1.2015482681783327e-35,4.0273384055191605e-68,4.640240811962674e-39,1.9351056948777504e-37,0.9233552087256148,6.95262408574228e+28
126,0.1,5000,63,63,0.7272727272727273,0.6,0.10004541064070593,0.00634530328978281,-8.341771717823576e-15,1.993498699448537e-14,1.4210854715202004e-14,4.973799150320701e-14,6.394884621840902e-14,9.237055564881302e-14,0.0,1.993498699448537e-14,2.5199335764589096e-14,,
